"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ctss",3.44868202762796e-246,7.26371186934134,0.196,0.001,1.18613969658236e-241
"Cxcl2",1.18697109004036e-236,1.97103973375535,0.441,0.141,4.0824683670848e-232
"Plac8",2.28357894140773e-223,6.00918687324266,0.19,0.003,7.85414141107774e-219
"Wfdc17",4.47588367889773e-179,0.45484545754862,0.905,0.763,1.53943543252008e-174
"mt-Nd5",1.0027564929695e-141,4.47351142629651,0.131,0.004,3.44888068191929e-137
"Rps8",4.77192615888877e-140,6.03471103702615,0.124,0.002,1.6412562830882e-135
"Nr4a1",6.39249402073228e-125,4.93368006635056,0.116,0.003,2.19863439349066e-120
"Ighm",5.48649630292499e-121,-3.06538795722936,0.021,0.145,1.88702553842802e-116
"Ptma",6.05506706876181e-120,1.14907191719732,0.448,0.225,2.08257976762994e-115
"Scnn1a",4.07745996297143e-112,-0.90824619825446,0.313,0.512,1.40240157966439e-107
"Nfkbia",2.8929168408001e-105,0.667451991026643,0.676,0.455,9.94989818224788e-101
"Ahnak",4.13494702921843e-101,7.63905425229454,0.084,0,1.42217368122939e-96
"Igkc",2.79030748495381e-97,-5.14515182210313,0.001,0.07,9.59698356375015e-93
"Cybb",6.4490506831039e-92,2.07793794229962,0.184,0.053,2.21808649194675e-87
"Ctsc",4.60814936925021e-89,5.86870693564985,0.079,0.001,1.58492689405992e-84
"Saa3",2.67112524397814e-88,-9.11734614084172,0,0.059,9.18706816413841e-84
"Rpl5",1.41160034536325e-86,5.21887273605131,0.083,0.003,4.85505822784235e-82
"F13a1",8.55408849635751e-86,5.94548146083753,0.078,0.002,2.9420931974372e-81
"Apoe",1.37377748519293e-84,-7.65510225151607,0,0.058,4.72497028257255e-80
"Cd14",2.1470999847632e-79,1.02480984047183,0.378,0.198,7.38473568759456e-75
"Mpeg1",5.14282666775758e-78,-0.674838130325571,0.383,0.563,1.76882380410854e-73
"Qsox1",6.45634405876618e-78,0.80512630605876,0.481,0.292,2.22059497557204e-73
"Tmsb10",3.7884522026531e-74,4.5888237176104,0.073,0.003,1.30300025058051e-69
"Il1r2",1.39161523300524e-67,0.668745905458528,0.529,0.354,4.78632143239823e-63
"Cfl1",2.00957662107648e-65,0.125972992593482,0.983,0.968,6.91173783053044e-61
"Clec7a",9.13229042461753e-65,-0.277019827889672,0.781,0.855,3.14095996864295e-60
"Atp1a3",4.36594480641241e-62,-0.443565576298579,0.556,0.69,1.50162305671749e-57
"Dusp1",7.57875864189041e-62,0.165239172119296,0.975,0.936,2.60663824729179e-57
"Fcgr2b",2.24805533164113e-58,4.83256825422486,0.057,0.002,7.73196150764652e-54
"Ucp2",3.20861652278783e-58,0.171688824874693,0.949,0.913,1.10357156684765e-53
"Tsc22d3",1.7298612390316e-53,0.553426411987582,0.543,0.379,5.94968474552529e-49
"Rps4x",6.00657666324661e-53,1.66780224595225,0.138,0.043,2.06590197755704e-48
"Pfn1",1.11216902931635e-51,0.15199921283445,0.961,0.928,3.82519415943064e-47
"Prr5l",1.52391507940709e-49,-0.557434872230567,0.373,0.507,5.24135352411275e-45
"Pou2f2",1.68918651752079e-49,3.83841722847309,0.044,0.001,5.80978810836099e-45
"H1f2",1.76097946233412e-48,-0.716444542768081,0.26,0.38,6.05671276275196e-44
"Atp1a1",6.73128187863194e-47,6.92740943734596,0.041,0.001,2.31515708933667e-42
"Zfp36l1",7.50130388090459e-47,0.336283271410283,0.767,0.637,2.57999845679832e-42
"H2-K1",1.16605102314611e-46,0.31008113635455,0.797,0.676,4.01051588900874e-42
"Slfn5",9.56223420135769e-46,-0.95515176892452,0.149,0.263,3.28883483121496e-41
"Tagln2",1.14602689553886e-45,0.438424072514116,0.612,0.494,3.94164490451635e-41
"Mmp19",1.01673070127501e-44,3.12957230001901,0.063,0.008,3.49694357396527e-40
