"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nap1l1",0,-7.33441239551466,0.001,0.197,0
"Rps2",7.20678305129548e-296,-7.32055808066797,0.001,0.181,2.47870096266257e-291
"Rpl32",7.68053942399678e-289,-5.73015661669831,0.002,0.177,2.64164472948945e-284
"Rpl22",7.19722343630836e-262,-5.15344722628508,0.004,0.173,2.4754130286839e-257
"Ptma",4.19053097832974e-255,-6.04020288381503,0.003,0.153,1.44129122468673e-250
"Ran",8.56515321548251e-239,-7.2796705193117,0.001,0.147,2.94589879693305e-234
"Hnrnpab",1.00074024588518e-238,-6.80628749011079,0.001,0.145,3.4419460016975e-234
"Pclaf",1.75702101251704e-236,-7.0187916481119,0.001,0.148,6.04309807045112e-232
"Stmn1",3.28737829485087e-234,-6.77878056364388,0.001,0.148,1.13066089073101e-229
"Rps20",3.69085617656093e-234,-6.22702674534121,0.002,0.149,1.26943307336637e-229
"Rpsa",8.11797667585645e-231,-4.22572290744522,0.004,0.151,2.79209689789407e-226
"Anp32e",3.12166430831519e-228,-7.31199991723999,0.001,0.142,1.07366522220192e-223
"Banf1",2.34748452200312e-227,-6.60515710765796,0,0.137,8.07393826497752e-223
"Hsp90aa1",2.54778807838094e-226,-4.81698825307097,0.004,0.153,8.7628623167834e-222
"Mki67",1.29946422837144e-223,-4.17321124665235,0.006,0.153,4.46937726706074e-219
"Birc5",1.85221501076713e-223,-6.45034371232368,0.002,0.143,6.37050830803246e-219
"Nucks1",3.52134227724711e-223,-4.85286448146402,0.003,0.146,1.21113046283637e-218
"Tubb5",1.04073148557311e-221,-4.94556551409712,0.004,0.151,3.57949187148014e-217
"H2ax",1.10861299374137e-218,-6.60591655136645,0.002,0.14,3.81296353067408e-214
"Ccna2",6.54516230136544e-218,-6.61707025024807,0.002,0.14,2.25114312193163e-213
"Tuba1b",1.57151754518142e-216,-4.93339758082312,0.004,0.149,5.40507744489697e-212
"Tacc3",3.99280395181845e-213,-4.81914449736708,0.003,0.139,1.37328499118844e-208
"Ncapd2",4.32039349487409e-211,-4.3551890513957,0.004,0.142,1.485956138627e-206
"Smc2",7.02173424995271e-211,-4.28078266540969,0.004,0.142,2.41505527792874e-206
"Top2a",1.75588238539251e-208,-4.16355810917911,0.006,0.151,6.03918187631899e-204
"Snrpg",2.26100569091506e-208,-7.03278603830199,0.001,0.129,7.77650297333325e-204
"Cdk1",2.34747436733071e-207,-5.45014788839596,0.003,0.14,8.07390333899726e-203
"Ccnb2",5.48852126006326e-207,-7.95262878724828,0,0.127,1.88772200218616e-202
"Kif15",1.61224691836901e-205,-4.0611781770099,0.005,0.14,5.54516205103837e-201
"Cdca8",2.88058024532759e-205,-5.50977684751963,0.002,0.136,9.90746769577973e-201
"Alyref",3.13811161501281e-204,-4.46968218341009,0.005,0.143,1.07932210886751e-199
"Rrm2",7.36764287836014e-203,-6.22865333376424,0.002,0.131,2.53402709158319e-198
"Set",1.11639632989263e-200,-5.9149680952226,0.001,0.128,3.83973353703272e-196
"Gatm",1.11999680692135e-199,-6.90671578579442,0.001,0.125,3.85211701772529e-195
"Nuf2",7.19959650536588e-199,-5.18983737198867,0.002,0.129,2.47622922205554e-194
"Rrm1",5.88844388184396e-198,-4.8622488368029,0.003,0.131,2.02527138872141e-193
"Kif11",5.82665351566373e-197,-4.99692563296184,0.003,0.132,2.00401921017738e-192
"Ssrp1",8.61189348253676e-196,-4.72544315524008,0.003,0.13,2.96197464438369e-191
"Cks1b",1.3941449985245e-195,-5.37176552710521,0.001,0.123,4.79502230792516e-191
