"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mmp9",3.95252516672997e-323,-4.09043601953094,0.252,0.967,0
"Slfn4",5.92878775009496e-323,-1.79505986113412,0.851,0.977,0
"Ifitm6",7.90505033345994e-323,-1.07577810413808,0.92,0.999,0
"Cd52",9.88131291682493e-323,-0.966697638797837,0.939,1,0
"S100a11",1.18575755001899e-322,-1.05208602239036,0.958,1,0
"Lcp1",1.38338380835549e-322,-0.9123754699007,0.989,0.997,0
"Mki67",1.97626258336499e-323,13.6787060382134,0.985,0,6.79715752922553e-319
"Top2a",2.23364608156598e-318,13.8381978552216,0.977,0,7.68240233293804e-314
"Ptma",1.22139881681382e-313,14.2207543567456,0.969,0,4.20087909054945e-309
"Alox5ap",9.10333814633335e-309,-0.921048949282658,0.962,0.996,3.13100212204989e-304
"Fpr2",1.64685586891979e-308,-1.76895428417826,0.676,0.983,5.66419607556271e-304
"Tubb5",6.56089504065056e-307,13.4683648526155,0.958,0,2.25655424028135e-302
"Pclaf",6.56089504065951e-307,13.5090978057111,0.958,0,2.25655424028443e-302
"Stmn1",1.27619247210945e-302,13.3102162639808,0.95,0,4.38933638857324e-298
"Fcer1g",4.44613702797801e-302,-0.814299412712339,0.954,0.999,1.52920436940276e-297
"Tuba1b",1.58653336426488e-300,13.4886382601638,0.947,0,5.45672285305261e-296
"Vasp",2.75348348287506e-300,-0.877084290725134,0.981,0.997,9.47033109100047e-296
"Arpc5",1.54030533889152e-298,-0.921028802145991,0.95,0.998,5.29772618258349e-294
"Smc2",1.99994246799401e-296,13.1145536901294,0.939,0,6.87860212441859e-292
"Hnrnpab",2.04531290535798e-294,13.1120052550817,0.935,0,7.03464920668825e-290
"Ran",2.04531290535868e-294,13.269144383326,0.935,0,7.03464920669065e-290
"Actb",2.37349062683943e-293,-0.584170546554245,1,1,8.16338366195154e-289
"Nucks1",1.97509578326593e-292,13.0260705942996,0.931,0,6.79314443696485e-288
"Prr13",6.05474541071733e-292,-2.38972844611003,0.653,0.933,2.08246913656212e-287
"Anp32e",5.6141213118896e-281,12.8337480491841,0.908,0,1.93092088401131e-276
"Ccna2",3.90334506111533e-279,13.2003761576742,0.905,0,1.34251650032001e-274
"Tacc3",2.60989476931248e-277,12.830077426732,0.901,0,8.97647206957333e-273
"Lsp1",1.16331283851703e-276,-1.62331285231519,0.824,0.966,4.00109817679548e-272
"Ncapd2",1.6807174947805e-275,12.9015941874926,0.897,0,5.78065975154806e-271
"Cdk1",1.68071749478088e-275,13.0838325089332,0.897,0,5.78065975154937e-271
"Birc5",1.04390037451478e-273,13.2036399704883,0.893,0,3.59039094810614e-269
"Lgals3",1.33593930441225e-273,-1.57549980717615,0.771,0.965,4.59482964359549e-269
"Anxa2",9.92383220143006e-271,-1.3025808131157,0.916,0.983,3.41320284735985e-266
"H2ax",2.03873504853912e-268,13.3487802310675,0.882,0,7.01202532594544e-264
"Kif15",2.03873504853912e-268,12.8153903519849,0.882,0,7.01202532594544e-264
"Actn1",6.08083180261708e-268,-0.904862789097241,0.977,0.994,2.09144129019212e-263
"S100a9",6.70837010107722e-266,-0.555388284367191,1,1,2.3072768125645e-261
"Itgam",3.78220168304143e-264,-0.782181590107154,0.992,0.988,1.30085044686527e-259
"Zfp36",7.59234147179858e-263,-1.7347374158016,0.813,0.975,2.6113099258104e-258
"S100a8",6.52683646281083e-259,-0.595124397454561,0.981,1,2.24484013301916e-254
"Banf1",3.4061003656232e-258,12.6079386818184,0.859,0,1.17149415975244e-253
"Tpx2",3.40610036562475e-258,12.9191530862879,0.859,0,1.17149415975298e-253
"Rrm1",3.40610036562552e-258,12.6512706574549,0.859,0,1.17149415975324e-253
"Cdca8",1.56348172205925e-256,12.7319915442096,0.855,0,5.37743903485059e-252
"Asf1b",1.56348172205996e-256,12.5178405774343,0.855,0,5.37743903485304e-252
"Cxcr2",3.76348172095734e-254,-2.24234826832361,0.668,0.937,1.29441190310607e-249
"Rrm2",3.05275691430938e-253,13.2396608617269,0.847,0,1.04996521310757e-248
"Samhd1",3.88002026217724e-253,-2.66048743164191,0.508,0.907,1.33449416897324e-248
"Prc1",1.30023348522827e-251,12.9932551272356,0.844,0,4.47202304909411e-247
"Mxd1",2.33746619256959e-250,-1.45438564179412,0.851,0.964,8.03948122272384e-246
