"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mki67",3.95252516672997e-323,8.89432179501951,0.979,0.002,0
"Top2a",5.92878775009496e-323,8.54549104055937,0.967,0.002,0
"Ptma",7.90505033345994e-323,9.07956610338609,0.965,0.002,0
"Tubb5",9.88131291682493e-323,8.96772485483074,0.957,0.002,0
"Tuba1b",1.18575755001899e-322,9.51715282340453,0.95,0.002,0
"S100a6",1.38338380835549e-322,-14.1749286524531,0,0.938,0
"Pclaf",1.58101006669199e-322,10.4649506302027,0.937,0.001,0
"Stmn1",1.77863632502849e-322,10.0705675577112,0.936,0.001,0
"Ran",1.97626258336499e-322,9.57266656769994,0.928,0.001,0
"Retnlg",2.17388884170148e-322,-11.6165435816816,0.001,0.928,0
"Nucks1",2.37151510003798e-322,8.72195813784117,0.924,0.002,0
"Hnrnpab",2.56914135837448e-322,9.17486941601785,0.911,0.001,0
"Smc2",2.76676761671098e-322,9.34160863516027,0.91,0.001,0
"Birc5",2.96439387504748e-322,9.94110947715994,0.905,0.001,0
"Ncapd2",3.16202013338398e-322,8.44749617172839,0.904,0.002,0
"Anp32e",3.35964639172048e-322,9.77188836769974,0.894,0.001,0
"Anp32b",3.55727265005698e-322,4.18178899623849,0.958,0.07,0
"Cdk1",3.75489890839347e-322,9.07134024662068,0.889,0.002,0
"H2ax",3.95252516672997e-322,9.76433891397812,0.888,0.001,0
"Kif15",4.15015142506647e-322,8.23100666108638,0.887,0.002,0
"Ccna2",4.34777768340297e-322,9.83534343359885,0.884,0.001,0
"Tacc3",4.54540394173947e-322,9.24343742613377,0.884,0.001,0
"Dek",4.74303020007597e-322,3.92487139907639,0.945,0.07,0
"Nap1l1",4.94065645841247e-322,4.61026591893038,0.908,0.036,0
"Mmp8",5.13828271674896e-322,-14.1299153632705,0,0.869,0
"Banf1",5.33590897508546e-322,9.65500472058076,0.865,0.001,0
"Cdca8",5.53353523342196e-322,9.34898307305645,0.864,0.001,0
"Tpx2",5.73116149175846e-322,9.21932813784119,0.854,0.002,0
"Rps20",5.92878775009496e-322,6.42093424603711,0.86,0.01,0
"Prc1",6.12641400843146e-322,9.08956209254178,0.849,0.002,0
"Ppia",6.32404026676796e-322,3.64655232773333,0.923,0.082,0
"Kif11",6.52166652510445e-322,9.1306025386322,0.838,0.001,0
"Rrm1",6.71929278344095e-322,9.85074820604987,0.838,0.001,0
"Rrm2",6.91691904177745e-322,9.80148122407874,0.832,0.001,0
"Ube2c",7.11454530011395e-322,8.93292192449931,0.825,0.002,0
"Ssrp1",7.31217155845045e-322,8.67511271576149,0.822,0.001,0
"Nuf2",7.50979781678695e-322,9.32274496327185,0.817,0.001,0
"Cenpe",7.70742407512345e-322,8.45243233970604,0.816,0.002,0
"Nusap1",7.90505033345994e-322,8.64488440870368,0.816,0.002,0
"Usp1",8.10267659179644e-322,3.75269029103371,0.866,0.052,0
"Snrpg",8.30030285013294e-322,10.1965416233541,0.813,0.001,0
"Set",8.49792910846944e-322,9.03064918735773,0.81,0.001,0
"Cbx3",8.69555536680594e-322,2.87551997118577,0.925,0.118,0
"Hdgf",8.89318162514244e-322,3.1027487459535,0.913,0.106,0
"Ccnb2",9.09080788347894e-322,10.3296309055819,0.805,0,0
"Smc6",9.28843414181544e-322,3.86264472640352,0.846,0.045,0
"Incenp",9.48606040015193e-322,4.64505086322524,0.823,0.025,0
"Asf1b",9.68368665848843e-322,9.2125804040723,0.796,0.001,0
"Racgap1",9.88131291682493e-322,9.05915693624687,0.796,0.001,0
"G3bp1",1.00789391751614e-321,8.25825694819994,0.796,0.002,0
"Hsp90aa1",1.02765654334979e-321,4.93428816763442,0.81,0.018,0
"Alyref",1.04741916918344e-321,5.45233217275172,0.804,0.013,0
"Gatm",1.06718179501709e-321,9.18627087012694,0.788,0.001,0
"Ckap2l",1.08694442085074e-321,8.52379089767153,0.784,0.001,0
"Fcnb",1.10670704668439e-321,3.2549630691791,0.923,0.142,0
"Spc25",1.12646967251804e-321,9.89210950762356,0.775,0.001,0
"Smc4",1.14623229835169e-321,2.6473260742244,0.975,0.203,0
"Cks1b",1.16599492418534e-321,8.4243995757254,0.772,0.001,0
"Lsm5",1.18575755001899e-321,4.2485581141283,0.803,0.032,0
"Maz",1.20552017585264e-321,2.28850420608488,0.917,0.146,0
"Cdc25a",1.22528280168629e-321,3.76165268512967,0.821,0.054,0
"Fpr1",1.24504542751994e-321,-9.72772788466176,0.001,0.764,0
"Rpl32",1.26480805335359e-321,4.0219292026574,0.796,0.034,0
