"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04110","mmu04110","Cell cycle",132,0.73629963308147,1.68927291192741,1e-10,2.52e-08,2.14736842105263e-08,1188,"tags=43%, list=15%, signal=37%","Ccna2/Cdk1/Pcna/Ccnb2/Knl1/Ccnb1/Aurkb/Mcm5/Dbf4/Cdkn2c/Cdc20/Fbxo5/Bub1/Ndc80/Plk1/Esco2/Mcm7/Ttk/Cdc7/Mcm6/Sgo1/Mcm3/Pkmyt1/Trip13/Mcm2/Ticrr/Espl1/Bub1b/Chek2/Cdt1/Ccne2/Wee1/Cdca5/Cdc6/Ccne1/Skp2/Cdk4/Chek1/Cdkn1a/Tfdp2/Mtbp/Atm/Orc2/Mad2l1/Ddx11/Cdc25c/Mcm4/Orc6/Mad2l2/Hdac2/Cdc45/Cdk6/Rbl1/Cdc25a/Cdc23/Anapc5/Pds5b"
"mmu05322","mmu05322","Systemic lupus erythematosus",55,0.784808139241705,1.74620050640003,1.03614882039458e-08,1.30554751369717e-06,1.11249662821312e-06,923,"tags=58%, list=12%, signal=52%","H2ax/Snrpd1/H3c3/H3c4/H2bc15/H2ac4/H2bc9/H2ac11/H2ac15/H2bc11/H4c6/H2ac12/H2ac20/H2bc12/H3c8/H2ac13/H3c2/H3c13/H2bc14/H3c1/H3c11/H2bc13/H2ac21/H2bc7/H2bc3/H2ac8/H3c6/H2ac7/H2bc8/H4c4/H2bc21/Il10"
"mmu05034","mmu05034","Alcoholism",86,0.723719364912143,1.64574002942727,3.36873254573119e-08,2.8297353384142e-06,2.4113032958918e-06,1074,"tags=40%, list=14%, signal=35%","H2ax/Hat1/H3c3/H3c4/H2bc15/H2ac4/H2bc9/H2ac11/H2ac15/H2bc11/H4c6/H2ac12/H2ac20/H2bc12/H3c8/H2ac13/H3c2/H3c13/H2bc14/H3c1/H3c11/H2bc13/H2ac21/H2bc7/H2bc3/H2ac8/H3c6/H2ac7/H2bc8/H4c4/H2bc21/Hdac2/Hdac6/H3c15"
"mmu03030","mmu03030","DNA replication",34,0.825882627914982,1.75855437228744,5.12519054071375e-08,3.22887004064966e-06,2.75141807975159e-06,943,"tags=76%, list=12%, signal=68%","Pcna/Lig1/Mcm5/Mcm7/Mcm6/Mcm3/Fen1/Prim1/Mcm2/Pold1/Rpa1/Rfc3/Rfc5/Rnaseh2b/Rfc4/Pole/Rpa2/Pold2/Rnaseh2a/Pola2/Rpa3/Mcm4/Pola1/Pole4/Pole2/Pole3"
"mmu03440","mmu03440","Homologous recombination",37,0.792357945659104,1.70295220868615,1.62086138837567e-06,8.16914139741339e-05,6.96117312060289e-05,1238,"tags=73%, list=16%, signal=62%","Bard1/Pold1/Rad51/Rpa1/Rad54l/Brca2/Rad54b/Eme1/Nbn/Rpa2/Pold2/Xrcc2/Atm/Xrcc3/Brip1/Rad51c/Brca1/Rpa3/Topbp1/Blm/Rad50/Abraxas1/Brcc3/Pold3/Palb2/Mre11a/Rbbp8"
"mmu03430","mmu03430","Mismatch repair",20,0.827370382959496,1.6770579197141,2.05401473636156e-05,0.000862686189271857,0.000735121063539929,937,"tags=75%, list=12%, signal=66%","Pcna/Lig1/Pold1/Rpa1/Rfc3/Rfc5/Exo1/Rfc4/Rpa2/Mlh1/Pold2/Msh2/Msh6/Rpa3/Pms2"
"mmu04662","mmu04662","B cell receptor signaling pathway",53,-0.525274124479976,-2.33815591128886,3.1477218502627e-05,0.00099153238283275,0.000844914812438935,1776,"tags=53%, list=23%, signal=41%","Nfatc1/Bank1/Inpp5d/Akt2/Nfkbib/Map2k1/Nras/Mapk3/Syk/Sos2/Grb2/Ptpn6/Pik3ca/Rac2/Pik3cd/Vav3/Map2k2/Pik3r2/Lyn/Raf1/Bcl10/Nfkbie/Jun/Pirb/Lilrb4a/Fos/Ifitm1/Lilra6"
"mmu03460","mmu03460","Fanconi anemia pathway",41,0.745578158507963,1.61387706063084,2.92196470691663e-05,0.00099153238283275,0.000844914812438935,1456,"tags=71%, list=19%, signal=58%","Rad51/Rpa1/Brca2/Ube2t/Rmi2/Eme1/Fancm/Rpa2/Mlh1/Cenps/Fancd2/Fanci/Brip1/Rad51c/Polh/Brca1/Fancf/Rpa3/Blm/Pms2/Usp1/Slx4/Palb2/Atrip/Poli/Cenpx/Fancg/Top3a/Faap24"
"mmu05323","mmu05323","Rheumatoid arthritis",33,-0.61303836415918,-2.28590596463409,4.63151683075823e-05,0.0012968247126123,0.00110506366488266,1741,"tags=70%, list=22%, signal=54%","Atp6v1b2/Atp6v0b/Atp6v0e/Atp6v0d1/Atp6v1e1/Itgb2l/Atp6v0a2/Tnf/Atp6v1g2/Cd80/Itgb2/Atp6ap1/Ctsl/Itgal/Atp6v1g1/Jun/Atp6v0a1/Il15/Fos/Ltb/Il1b/Cxcl2/Tlr2"
"mmu04114","mmu04114","Oocyte meiosis",78,0.657736775701349,1.4883597845145,0.000146385627128225,0.00368891780363126,0.00314343872991135,857,"tags=22%, list=11%, signal=20%","Cdk1/Ccnb2/Ccnb1/Cdc20/Fbxo5/Bub1/Plk1/Aurka/Sgo1/Pkmyt1/Espl1/Ccne2/Ccne1/Stag3/Mad2l1/Cdc25c/Mad2l2"
