"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04380","mmu04380","Osteoclast differentiation",90,-0.62331602826552,-2.485570192933,1e-10,1.04333333333333e-08,7.36842105263158e-09,1511,"tags=41%, list=14%, signal=35%","Spi1/Relb/Fyn/Sirpa/Pik3cd/Jak1/Fosb/Tnfrsf1a/Tec/Itgb3/Sqstm1/Tyrobp/Ifnar1/Ncf2/Jun/Ifngr2/Fcgr4/Pirb/Fcgr3/Map3k14/Fosl2/Irf9/Mitf/Lilrb4a/Jund/Fosl1/Tgfbr2/Fos/Pira2/Socs3/Il1b/Csf1r/Junb/Sirpb1a/Sirpb1b/Sirpb1c/Lilra6"
"mmu04110","mmu04110","Cell cycle",132,0.720365324662752,2.03784752763773,1e-10,1.04333333333333e-08,7.36842105263158e-09,1362,"tags=45%, list=13%, signal=39%","Ccne2/Cdkn1a/Ccne1/Pcna/Mcm5/Fbxo5/Cdca5/Ccnb2/Cdc6/Bub1/Ccna2/Sgo1/Plk1/Mcm7/Cdt1/Aurkb/Esco2/Ndc80/Cdc7/Cdc20/Cdkn2c/Mcm6/Ticrr/Ttk/Cdk1/Ccnb1/Dbf4/Mcm2/Espl1/Knl1/Chek1/Skp2/Mcm3/Trip13/Pkmyt1/Bub1b/Chek2/Wee1/Orc2/Cdk4/Tfdp2/Mad2l1/Cdc25c/Atm/Mtbp/Mcm4/Orc1/Orc6/Mad2l2/Hdac2/Ddx11/Cdc25a/Rbl1/Cdc45/Cdc23/Pds5b/Cdk6/Anapc5/E2f5"
"mmu05034","mmu05034","Alcoholism",104,0.69924480976925,1.951553391877,1e-10,1.04333333333333e-08,7.36842105263158e-09,1125,"tags=38%, list=11%, signal=34%","H2ac15/H3c4/H4c6/H2ac11/H2bc7/H2ax/H2ac12/H3c11/H2bc15/Hat1/H2ac13/H3c10/H2bc9/H4c14/H3c3/H2bc14/H3c2/H3c8/H2bc13/H2bc12/H2ac8/H2bc3/H2ac4/H2ac7/H4c12/H3c6/H2ac20/H2bc11/Slc29a1/H2bc8/H3c1/H4c4/Gng11/H3c13/H3c7/Hdac2/H2bc21/H4c11/H2ac21"
"mmu03030","mmu03030","DNA replication",34,0.829996586149911,2.04469246269062,8.35199154174845e-10,5.68574580599453e-08,4.01549224569985e-08,1124,"tags=76%, list=11%, signal=68%","Pcna/Rfc4/Rfc5/Mcm5/Mcm7/Fen1/Lig1/Pole/Rpa1/Mcm6/Rfc3/Prim1/Mcm2/Rnaseh2b/Mcm3/Pold1/Rpa2/Pold2/Rnaseh2a/Rpa3/Pola2/Mcm4/Pole4/Pole2/Pole3/Pola1"
"mmu05322","mmu05322","Systemic lupus erythematosus",66,0.741918906538643,1.98388470023496,9.08266103194014e-10,5.68574580599453e-08,4.01549224569985e-08,1190,"tags=56%, list=11%, signal=50%","H2ac15/H3c4/H4c6/H2ac11/H2bc7/H2ax/H2ac12/H3c11/H2bc15/H2ac13/H3c10/Snrpd1/H2bc9/H4c14/H3c3/H2bc14/H3c2/H3c8/H2bc13/H2bc12/H2ac8/H2bc3/H2ac4/H2ac7/H4c12/H3c6/H2ac20/H2bc11/H2bc8/H3c1/H4c4/H3c13/H3c7/H2bc21/H4c11/H2ac21/Elane"
"mmu04621","mmu04621","NOD-like receptor signaling pathway",125,-0.503306250496986,-2.05656461816154,2.13468189095525e-09,1.11359238644832e-07,7.86461749299303e-08,1320,"tags=31%, list=13%, signal=28%","Prkcd/Jak1/Rnf31/Gabarap/Irak4/Antxr2/Birc3/Myd88/Casp1/Nampt/Ifnar1/Jun/Irgm1/Oas1a/Oas2/Irgm2/Oas1b/Irf9/Map1lc3b/Gbp7/Txnip/Trip6/Nlrp12/Aim2/Rnasel/Il18/Oas3/Irf7/Card6/Nod2/Nlrp1a/Trpm2/Gbp2/Il1b/Trpv2/Nlrp1b/Ifi204/Cxcl2/Nlrp3"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction",76,-0.60467700550443,-2.33719050505225,4.37633638249411e-09,1.95684755388665e-07,1.38200096289288e-07,1481,"tags=53%, list=14%, signal=45%","Csf2rb2/Il16/Acvr2a/Il10rb/Tnfrsf1b/Il1rap/Csf2ra/Crlf2/Tnfrsf1a/Bmpr2/Relt/Il4ra/Il1rl1/Ifnar1/Ifngr2/Il15/Il6ra/Il1r2/Il17ra/Csf3r/Ccr1/Tnfsf14/Cxcr2/Tgfbr2/Osm/Ltb/Il18/Cxcr5/Fas/Acvrl1/Il1rn/Ccl4/Ccl3/Il1b/Csf1r/Il13ra1/Il10ra/Cxcr1/Ccl6/Cxcl2"
"mmu05323","mmu05323","Rheumatoid arthritis",39,-0.716975717739013,-2.46190479073818,5.08819700234503e-08,1.99075707716749e-06,1.4059491717006e-06,1019,"tags=41%, list=10%, signal=37%","Atp6v1g1/Itgal/Atp6v0a1/Cd80/Jun/Icam1/Il15/Ctsl/Ltb/Il18/Fos/Ccl3/Il1b/Cd86/Tlr2/Cxcl2"
"mmu04080","mmu04080","Neuroactive ligand-receptor interaction",52,-0.647471924062826,-2.3493507729409,6.62195130320052e-08,2.30296750877974e-06,1.62644417973346e-06,967,"tags=37%, list=9%, signal=33%","Hrh2/Ednra/Cnr2/Ptafr/C5ar1/Fpr2/Grik3/Apln/Kiss1r/Adrb2/P2ry13/Gabbr1/Chrm3/Gpr35/Grm1/S1pr1/Adora3/P2rx4/Fpr1"
"mmu03440","mmu03440","Homologous recombination",38,0.778351426859959,1.94981749823521,1.42652873381357e-07,4.46503493683648e-06,3.15337930632474e-06,1740,"tags=74%, list=17%, signal=62%","Xrcc3/Brca2/Rpa1/Rad54b/Bard1/Nbn/Rad54l/Pold1/Xrcc2/Rpa2/Rad51/Eme1/Pold2/Atm/Rad51c/Brca1/Rpa3/Brip1/Topbp1/Blm/Rad50/Abraxas1/Rbbp8/Pold3/Brcc3/Palb2/Top3a/Mre11a"
