gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight	comparison
GK	1745.0584731988506	3.0917144459428845	0.09097402016646709	33.98458637186275	3.763730768699263e-253	6.390814845251348e-250	1	tumor_vs_blood
HCAR3	1527.1885821606745	4.717097215845309	0.19718538877387898	23.922143750998753	1.8020143721380366e-126	1.1405936051414637e-123	1	tumor_vs_blood
WSB1	849.7355826507434	2.2284386984524476	0.09317197759131314	23.917477723046797	2.015183047953116e-126	1.1405936051414637e-123	1	tumor_vs_blood
HCAR2	1248.874765258904	4.666043526084116	0.20015573120980426	23.31206554956523	3.3448336223713545e-120	1.41988187269664e-117	1	tumor_vs_blood
ERI2	275.5443692807209	6.263087102186438	0.27088057551486555	23.121211590318435	2.8332502442569083e-118	9.621717829496461e-116	1	tumor_vs_blood
ZNF394	375.2464324464488	-2.2623708039673827	0.09828432561049333	-23.018632827916974	3.033610233403659e-117	8.585116960532355e-115	1	tumor_vs_blood
KATNBL1	1190.859643525878	3.0968916628129053	0.1443922551532958	21.44776850756332	4.790900342240258e-102	1.1621355401605653e-99	1	tumor_vs_blood
DCUN1D3	167.06470005313125	5.1169747405334265	0.2426826985131663	21.0850413807139	1.0911826292934537e-98	2.3160351306753554e-96	1	tumor_vs_blood
MCTP1	1541.1460971337792	3.0242394285137726	0.15166643772979224	19.940070287018504	1.8280769853185298e-88	3.448971912300959e-86	1	tumor_vs_blood
ECHDC1	634.830775363409	3.2404256476725206	0.17201085009614095	18.838495628975554	3.6519876916741246e-79	6.201075100462664e-77	1	tumor_vs_blood
PPIF	2052.389170308514	4.721173945946989	0.25142702476117657	18.77751188612878	1.15360673304078e-78	1.7807493024574952e-76	1	tumor_vs_blood
ZNF438	434.1643065985583	2.032881212265962	0.10963527211882303	18.542218876993523	9.425157411455506e-77	1.3336597737209541e-74	1	tumor_vs_blood
CCRL2	157.11181968286294	4.913554626302936	0.2763648849375367	17.779229178893278	1.0237785827888568e-70	1.337212333519599e-68	1	tumor_vs_blood
OSM	743.7227200704766	4.286473355015146	0.2444154694254791	17.537651626924	7.391956070656674e-69	8.965386719982167e-67	1	tumor_vs_blood
VPS9D1	210.2735133402625	2.3109209000528996	0.13254141713541018	17.435462438823635	4.4395394305568575e-68	5.025558635390362e-66	1	tumor_vs_blood
EGR1	2186.435341178733	3.2223416913930327	0.1888311033642878	17.064676496522818	2.718912724818792e-65	2.885446129213943e-63	1	tumor_vs_blood
SRSF3	339.8901243007378	2.030844198256105	0.12157807511543978	16.70403315999036	1.2249744133508931e-62	1.223533266982245e-60	1	tumor_vs_blood
GRAMD1A	186.30605360298426	1.6894807609315967	0.10138807780244405	16.663505192627987	2.414497635482263e-62	2.2776761028049348e-60	1	tumor_vs_blood
JOSD1	516.356289876122	3.446303074279131	0.20827117540860357	16.547191744214675	1.6774691388798522e-61	1.4991276830620993e-59	1	tumor_vs_blood
TG	155.37806271500725	3.278291456958657	0.1991934438846494	16.457828094267384	7.36977238935458e-61	6.256936758562039e-59	1	tumor_vs_blood
NABP1	1428.8593461797136	2.2017760316977193	0.13387283279346043	16.446772550892597	8.845802404176664e-61	7.152463086805703e-59	1	tumor_vs_blood
EIF4A3	476.1172290614736	2.3992772799015283	0.14875483223017394	16.129071196753035	1.5939961659145515e-58	1.230275222601322e-56	1	tumor_vs_blood
ZSWIM6	1111.9402129453972	2.003077932052428	0.12446429007607522	16.0935954467591	2.829191760603122e-58	2.088681569349609e-56	1	tumor_vs_blood
GLA	570.5864934732491	2.872084709693486	0.17943612364159242	16.006167829562667	1.1572131423718189e-57	8.030610988095692e-56	1	tumor_vs_blood
PAK1	678.3952523834919	0.9234114557779116	0.05769580017472932	16.004829692653512	1.1823632196842891e-57	8.030610988095692e-56	1	tumor_vs_blood
C3AR1	194.20987470529352	3.8341505972951007	0.24514359385824855	15.640427461107363	3.8612738748134445e-55	2.5217088613204727e-53	1	tumor_vs_blood
CD48	130.94000575827246	1.9737283921772377	0.12688826450420748	15.5548537123525	1.4749185527008096e-54	9.275598898096202e-53	1	tumor_vs_blood
DSE	238.30186153308128	2.76011953560207	0.177862472050099	15.518279397492122	2.609547970027989e-54	1.582504447538402e-52	1	tumor_vs_blood
MAFF	481.78247483195145	2.865518237203361	0.18506774737476175	15.48361763652255	4.4757997777991673e-54	2.6206579388630986e-52	1	tumor_vs_blood
ZFYVE16	349.62232555530585	1.706105731669052	0.11229308890983879	15.19332799758408	3.9152655848397055e-52	2.216040321019273e-50	1	tumor_vs_blood
RHOH	888.901220707047	5.179476214086344	0.3446144346726942	15.029771515536416	4.6861932750525025e-51	2.566824574528758e-49	1	tumor_vs_blood
PITPNA	736.6217924887566	1.9013237542873316	0.12669495416474033	15.007099271017985	6.597024758571696e-51	3.500546262517106e-49	1	tumor_vs_blood
KDM6B	1113.4423215466354	1.5092391967433552	0.10085419200449054	14.964565842500193	1.251378834419518e-50	6.438912911649519e-49	1	tumor_vs_blood
KLF3	315.24491252088075	-2.2163328962171662	0.14991571667262818	-14.783859527263477	1.861842837559271e-49	9.298262171104829e-48	1	tumor_vs_blood
HNRNPA3	347.5824194056617	1.7311990480010977	0.11749477772931116	14.734263781403957	3.884070241643262e-49	1.8843289343743595e-47	1	tumor_vs_blood
RBKS	377.53905071455495	2.3881001711778262	0.16246272438675707	14.699372918877932	6.505939531868311e-49	3.06863481253122e-47	1	tumor_vs_blood
ZFAND3	1013.5979695266021	1.032896945793292	0.07036900994408532	14.678292995937047	8.879782779550165e-49	4.075100313425995e-47	1	tumor_vs_blood
HIVEP2	284.3009071664229	1.9981026121957504	0.13654200498443236	14.633611191102409	1.7144071937302147e-48	7.660693197247117e-47	1	tumor_vs_blood
STAT3	1045.9257161617038	1.1768850413871519	0.08091790322732281	14.544186075619466	6.358259658738952e-48	2.7682884360355745e-46	1	tumor_vs_blood
LYRM1	223.37280347541375	2.821178205628827	0.19518424121648506	14.453924087548485	2.36801172705705e-47	1.0052209781357179e-45	1	tumor_vs_blood
SIK3	1239.2977772523388	1.5007720141796002	0.10420614111218438	14.401953648431583	5.030127120647145e-47	2.0832087441119153e-45	1	tumor_vs_blood
SLC16A3	359.3002917752562	2.053361972744133	0.1426021599307175	14.399234722263309	5.231962447625534e-47	2.115207675254323e-45	1	tumor_vs_blood
LCP2	4143.748571635469	2.957501751009302	0.20562945734978103	14.382675464529944	6.647426513423075e-47	2.6249605162307865e-45	1	tumor_vs_blood
EAPP	231.73502811418888	-2.126294744700354	0.1488983337507939	-14.28017823395567	2.9085660771844712e-46	1.12244209069528e-44	1	tumor_vs_blood
SLC2A3	4486.0444771506745	2.4515600566359717	0.17214344848244462	14.241378793372926	5.071643980066404e-46	1.91370032847839e-44	1	tumor_vs_blood
PROK2	1362.654841333516	1.9947897030141157	0.14028843710740174	14.219202552573513	6.964199944358841e-46	2.5706981533741983e-44	1	tumor_vs_blood
UBR1	382.3446047275111	3.003235858430299	0.21256948504166234	14.128254852015484	2.5437006932961245e-45	9.189795270674083e-44	1	tumor_vs_blood
CYSTM1	932.4560218399664	1.5331413775924994	0.10885655253091847	14.084052286673712	4.7600158476657836e-45	1.683855606111771e-43	1	tumor_vs_blood
SPAG9	1044.837810986945	1.8024830720729756	0.12910906519690896	13.960933489247582	2.6987572687155195e-44	9.352020086283576e-43	1	tumor_vs_blood
TNFRSF1A	426.29290605721235	1.7916357499173552	0.12852153788561244	13.940354118015287	3.6014885492989234e-44	1.2230655113419144e-42	1	tumor_vs_blood
ZNF267	714.0924234090527	1.9731060822947675	0.14170256300663833	13.924279423247507	4.510676594372979e-44	1.501789972008886e-42	1	tumor_vs_blood
IL1R1	631.7443358118538	2.4223425310792766	0.17416086232148736	13.908650306334733	5.612863274534161e-44	1.8328157384921163e-42	1	tumor_vs_blood
FGD4	1189.5802379281447	2.725628187287133	0.1959898300179529	13.906987862775646	5.744829707845631e-44	1.8405133667777135e-42	1	tumor_vs_blood
SDCCAG8	210.88525106443387	2.260271687297831	0.16381259421410288	13.797911559496203	2.6234319453403067e-43	8.249236005903408e-42	1	tumor_vs_blood
BCL6	1729.8380871489908	1.6461143819410216	0.12054987034566064	13.655048962068632	1.883626932235554e-42	5.81527005624722e-41	1	tumor_vs_blood
GTPBP1	395.6559349608671	2.1622118421832766	0.15842180529373612	13.648448445428546	2.062226387608063e-42	6.252965010997306e-41	1	tumor_vs_blood
NCOA4	803.0620693176253	-1.5122632155553544	0.11118291081382776	-13.601579635629353	3.918771352682722e-42	1.1673813608518004e-40	1	tumor_vs_blood
TBC1D7	111.61226978559115	2.5243442306284143	0.18770829312233825	13.448229636733107	3.1533170747068897e-41	9.231607573883273e-40	1	tumor_vs_blood
CDV3	166.06774251577835	-1.4822334014925624	0.11036389698100274	-13.430419204458715	4.011342924622595e-41	1.154450895933757e-39	1	tumor_vs_blood
PAG1	681.6160678643685	2.542566894696693	0.1894035754634673	13.424070208152488	4.3703510818937563e-41	1.236809356175933e-39	1	tumor_vs_blood
PPARD	169.92341479687698	2.466047130034097	0.18450982051754114	13.365397695997718	9.631883461223589e-41	2.681137396255353e-39	1	tumor_vs_blood
SKIL	590.1810775757922	2.0157723682091286	0.1508500889609879	13.362752266791421	9.980451176157306e-41	2.7333558221153395e-39	1	tumor_vs_blood
TPI1	458.6844579776434	1.8930035278207207	0.14228378682518955	13.304421888535147	2.1817410387120334e-40	5.880311561481005e-39	1	tumor_vs_blood
ARHGAP30	393.23020733549987	-1.4341306299953795	0.10790565680701433	-13.290597290559793	2.624745981206812e-40	6.963779181389322e-39	1	tumor_vs_blood
OLR1	949.5071516373993	6.704294275968926	0.510120902162787	13.14255943550709	1.877665498536796e-39	4.90504002540843e-38	1	tumor_vs_blood
HBEGF	367.9964184532088	4.301856998373736	0.32770644616032135	13.127166245210724	2.301072729503143e-39	5.920032567721722e-38	1	tumor_vs_blood
