gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Scnn1a	2.91E-110	1.15579327190616	0.512	0.313	1.00E-105
Slfn5	2.79E-45	1.12829837746662	0.263	0.149	9.60E-41
H1f2	1.88E-43	0.942084420742162	0.38	0.26	6.46E-39
Gm39321	4.86E-40	0.890299142705254	0.259	0.151	1.67E-35
Ifi27l2a	2.03E-30	0.850261804232074	0.266	0.173	6.97E-26
Mpeg1	1.21E-83	0.824301273890286	0.563	0.383	4.15E-79
Xpc	2.49E-30	0.767564880942999	0.343	0.246	8.56E-26
Prr5l	8.41E-51	0.687884889415609	0.507	0.373	2.89E-46
Hgsnat	6.20E-15	0.607723312158705	0.264	0.202	2.13E-10
Eid1	7.23E-15	0.596377242460306	0.254	0.191	2.49E-10
Mirt2	1.33E-34	0.59517305902103	0.459	0.351	4.59E-30
Fabp5	1.86E-21	0.585865940069274	0.365	0.284	6.39E-17
Atp1a3	7.89E-62	0.582714399838799	0.69	0.556	2.71E-57
Il15	1.21E-22	0.552161479205292	0.339	0.252	4.17E-18
H2bc4	7.24E-24	0.536864777819325	0.452	0.367	2.49E-19
Ube2h	7.96E-25	0.521915655069466	0.559	0.496	2.74E-20
Gm39556	2.93E-15	0.514218933756208	0.296	0.228	1.01E-10
Ppt1	5.82E-20	0.508713584591161	0.352	0.273	2.00E-15
Tspan13	8.83E-26	0.501614128551803	0.447	0.357	3.04E-21
Lst1	1.23E-18	0.493402710689349	0.351	0.273	4.23E-14
Mpp1	2.75E-13	0.483673007877739	0.292	0.23	9.47E-09
Xbp1	4.34E-19	0.481190196629511	0.451	0.375	1.49E-14
Znrf1	3.59E-15	0.474243461552597	0.341	0.277	1.23E-10
Clec7a	8.80E-65	0.466284084600336	0.855	0.781	3.03E-60
Cdkn2d	3.35E-21	0.456199855936908	0.544	0.477	1.15E-16
Rpl17	1.08E-16	0.451184586215817	0.379	0.309	3.70E-12
Trpm2	5.80E-11	0.446035562394487	0.276	0.224	1.99E-06
Mmp8	3.63E-35	0.441807126990471	0.703	0.594	1.25E-30
Jaml	1.69E-30	0.43763148985582	0.605	0.504	5.82E-26
Gm5150	6.41E-31	0.436421471550895	0.64	0.558	2.20E-26
Sgms2	1.50E-12	0.435471767939541	0.345	0.285	5.16E-08
Adam8	2.38E-34	0.431883302850705	0.658	0.567	8.20E-30
Trim12c	5.92E-14	0.427856680313927	0.366	0.3	2.04E-09
Nlrp12	4.64E-14	0.420096957347707	0.427	0.368	1.60E-09
Asb7	2.30E-07	0.405774641943734	0.309	0.269	0.007901593088672
Mbp	4.05E-13	0.395735551474417	0.434	0.376	1.39E-08
2310001H17Rik	1.33E-12	0.395329879989015	0.353	0.291	4.58E-08
Tle5	1.50E-13	0.387194955684092	0.394	0.331	5.16E-09
Creg1	2.01E-08	0.374648258808366	0.276	0.228	0.000689952100776
Ier2	7.05E-13	0.374044432314327	0.434	0.37	2.42E-08
Fam217b	2.84E-07	0.374016673068425	0.29	0.249	0.009753752468826
Ogt	1.81E-13	0.370692223757648	0.422	0.362	6.23E-09
Adipor1	5.96E-37	0.370658843079095	0.827	0.775	2.05E-32
Rnf144a	8.16E-27	0.370163319852776	0.713	0.634	2.81E-22
Neurl3	2.35E-14	0.362145629097804	0.448	0.382	8.08E-10
Gsn	1.39E-12	0.361525857725147	0.395	0.332	4.79E-08
Slfn1	1.01E-36	0.361226127848334	0.816	0.763	3.46E-32
AI467606	6.59E-27	0.359306759978363	0.72	0.654	2.27E-22
Rtp4	6.93E-07	0.357021218662213	0.345	0.309	0.023835995897684
Btg2	3.63E-23	0.354043862546161	0.738	0.684	1.25E-18
H2-Q10	1.31E-18	0.353898621732744	0.699	0.646	4.50E-14
Rasa3	6.57E-12	0.341899332105028	0.399	0.341	2.26E-07
Fau	4.96E-19	0.340717286103112	0.593	0.53	1.71E-14
Hacd4	4.48E-13	0.339027078749851	0.497	0.442	1.54E-08
Itm2b	9.13E-42	0.338211140174872	0.844	0.786	3.14E-37
Tomm7	1.09E-07	0.336662840574319	0.301	0.258	0.003748612210321
Mfsd14b	1.36E-10	0.335702837368031	0.406	0.352	4.68E-06
Msra	5.37E-08	0.334858258594971	0.285	0.24	0.001848164807159
Klf3	1.84E-15	0.318647215601846	0.588	0.525	6.32E-11
Slc40a1	1.18E-23	0.318534908748891	0.72	0.65	4.05E-19
Myd88	7.59E-10	0.317517323245747	0.509	0.469	2.61E-05
Txn1	1.07E-37	0.313850147237262	0.888	0.855	3.69E-33
Rgs2	3.03E-42	0.313651755742348	0.928	0.886	1.04E-37
Stat5b	7.15E-07	0.310281405857074	0.358	0.319	0.024579847441369
Fgl2	1.25E-22	0.309710001340146	0.829	0.797	4.28E-18
Cyp4f18	4.83E-07	0.309215139581988	0.381	0.346	0.016619075969562
Glipr1	3.68E-14	0.306915351718687	0.582	0.529	1.27E-09
Ddx17	1.18E-08	0.305519943391009	0.413	0.368	0.000405189008547
Rhob	2.51E-09	0.304995177157716	0.564	0.518	8.62E-05
D8Ertd738e	9.24E-08	0.303834742228007	0.308	0.261	0.003176839442309
Pla2g7	4.81E-18	0.300593886388474	0.716	0.664	1.65E-13
Tbc1d15	6.95E-07	0.294297898574755	0.337	0.298	0.023902843521548
Oasl2	4.44E-16	0.292385187272546	0.743	0.703	1.53E-11
Gm16556	2.75E-07	0.288654728546389	0.342	0.296	0.009466063459454
Nlrp3	9.91E-15	0.282225205898629	0.615	0.564	3.41E-10
Mir142hg	1.42E-14	0.275954580897876	0.725	0.672	4.89E-10
Lgals3	3.77E-11	0.275874046654971	0.498	0.446	1.30E-06
Socs3	3.81E-14	0.275041903676197	0.661	0.607	1.31E-09
Gcnt2	7.78E-21	0.273577802762372	0.771	0.731	2.68E-16
Sh2d3c	1.08E-10	0.270230329502564	0.594	0.559	3.73E-06
Marchf7	1.18E-11	0.268514754972676	0.676	0.642	4.05E-07
Gadd45a	7.87E-08	0.261283639772025	0.491	0.451	0.002707691065874
Btg1	2.17E-25	0.253495038282301	0.906	0.882	7.48E-21
Cd300lb	1.86E-11	0.252142174334741	0.634	0.591	6.41E-07
Igf1r	3.09E-10	0.251003160226804	0.593	0.544	1.06E-05
Ncf1	1.43E-10	-0.250061796791297	0.447	0.522	4.93E-06
Fgd4	2.25E-09	-0.250350807355725	0.274	0.338	7.74E-05
Sipa1	1.82E-07	-0.251830165101176	0.308	0.366	0.006246085429906
Msn	2.50E-19	-0.252385538676421	0.771	0.83	8.59E-15
Atp6v0c	2.42E-08	-0.25556276749061	0.489	0.55	0.00083303088903
1810013L24Rik	6.32E-09	-0.260719694277868	0.33	0.395	0.000217499742582
Gnb2	1.30E-12	-0.262176105087797	0.504	0.581	4.46E-08
Cotl1	9.61E-14	-0.264701147404698	0.534	0.611	3.31E-09
Gk	1.84E-09	-0.26801049054554	0.272	0.336	6.33E-05
Pcbp1	1.18E-07	-0.269397459079284	0.291	0.35	0.004053224529567
Cited2	9.01E-07	-0.269943972774479	0.308	0.361	0.031005255497182
Actn1	1.62E-15	-0.27071731894465	0.724	0.749	5.59E-11
Eif4ebp1	9.69E-07	-0.272046808199909	0.202	0.251	0.033318236958719
Hexim1	4.90E-11	-0.272648679894541	0.429	0.502	1.69E-06
Baz1a	8.20E-08	-0.27298725471498	0.227	0.282	0.002818665682098
Vasp	6.05E-39	-0.273149641202094	0.872	0.911	2.08E-34
St3gal6	1.83E-09	-0.276270429436673	0.311	0.379	6.29E-05
Fcer1g	3.70E-59	-0.283445126840938	0.978	0.981	1.27E-54
Slc11a1	2.84E-09	-0.287461088233987	0.238	0.303	9.76E-05
CT010467.1	3.36E-32	-0.290070147154256	0.912	0.945	1.15E-27
Tpt1	6.14E-43	-0.294312163955031	0.921	0.94	2.11E-38
Trir	1.26E-08	-0.294415053885894	0.222	0.279	0.000433631536296
Hsd17b11	1.36E-10	-0.295785954966432	0.33	0.4	4.68E-06
Fbxl5	5.24E-14	-0.296235512695916	0.519	0.598	1.80E-09
Ifitm1	2.15E-34	-0.300737111413731	0.84	0.888	7.39E-30
Irf2bp2	7.02E-08	-0.301633066377484	0.216	0.269	0.002415725177304
Ywhae	5.10E-09	-0.301644700541849	0.295	0.358	0.00017557592932
Atp11c	8.19E-07	-0.305933418903096	0.213	0.258	0.028173459700606
Gnb1	1.14E-11	-0.307089931707095	0.366	0.437	3.91E-07
Il1rap	3.12E-13	-0.310492058000127	0.363	0.444	1.07E-08
Rflnb	4.85E-10	-0.312602772925638	0.392	0.454	1.67E-05
Mboat7	5.58E-14	-0.312678426320155	0.327	0.411	1.92E-09
Rab32	2.24E-10	-0.318168256268019	0.293	0.362	7.72E-06
Tbc1d10b	3.84E-08	-0.321800271375088	0.248	0.301	0.001320569509298
Cstdc4	8.84E-07	-0.322379177759998	0.227	0.271	0.030400838575133
Xiap	1.17E-07	-0.325228210236147	0.253	0.305	0.00402546668586
Zfp36l2	5.20E-25	-0.330136173049424	0.829	0.872	1.79E-20
Gramd1a	1.88E-08	-0.330782106852385	0.208	0.261	0.000645249785394
Sgms1	6.99E-17	-0.347419460001921	0.357	0.444	2.41E-12
Ctdsp1	1.82E-09	-0.366516747340289	0.196	0.251	6.27E-05
Adrb2	1.92E-19	-0.367051877104005	0.353	0.455	6.62E-15
Vsir	9.86E-22	-0.367669159293089	0.462	0.563	3.39E-17
Drap1	1.21E-10	-0.371816355739727	0.238	0.301	4.15E-06
Glul	4.23E-11	-0.372081303001595	0.255	0.321	1.46E-06
Pitpna	2.99E-11	-0.378642365506595	0.291	0.362	1.03E-06
H2az1	3.32E-11	-0.381585319859537	0.28	0.352	1.14E-06
Vav3	1.63E-09	-0.391743199404928	0.22	0.275	5.60E-05
Snx10	8.08E-10	-0.399877629168166	0.216	0.274	2.78E-05
Pfn1	7.82E-102	-0.402480422138494	0.928	0.961	2.69E-97
Plek	6.15E-40	-0.405015827026288	0.652	0.769	2.12E-35
Hck	4.01E-24	-0.409551718389892	0.457	0.56	1.38E-19
Fpr2	7.00E-29	-0.410793272614108	0.544	0.646	2.41E-24
Tspo	1.13E-18	-0.414173015256934	0.345	0.436	3.89E-14
Klf7	4.53E-22	-0.416273238916163	0.33	0.438	1.56E-17
Stfa2l1	5.52E-21	-0.42004325511488	0.385	0.482	1.90E-16
Cfl1	3.01E-161	-0.424394100985954	0.968	0.983	1.04E-156
Asprv1	8.09E-14	-0.427193724176047	0.326	0.401	2.78E-09
Slc38a2	1.16E-14	-0.427295293699982	0.293	0.372	4.00E-10
Wfdc21	7.07E-47	-0.429135295977944	0.758	0.827	2.43E-42
Dusp1	1.27E-112	-0.434209671201521	0.936	0.975	4.36E-108
Ctdsp2	1.73E-20	-0.45874626675804	0.267	0.365	5.97E-16
Pnp	3.72E-09	-0.462194148108383	0.195	0.252	0.000128030574645
Ucp2	3.49E-111	-0.477376660817463	0.913	0.949	1.20E-106
Ywhab	1.01E-12	-0.479153518037203	0.217	0.289	3.49E-08
mt-Cytb	4.49E-07	-0.481010671050933	0.359	0.452	0.01542624428233
Trib1	2.65E-15	-0.482555492462055	0.267	0.346	9.10E-11
B230303A05Rik	5.48E-20	-0.486992819128304	0.23	0.323	1.88E-15
Fpr1	2.60E-38	-0.500843979124877	0.461	0.585	8.93E-34
H2-K1	2.91E-59	-0.504471668692166	0.676	0.797	1.00E-54
Ncf4	1.18E-23	-0.505800761528446	0.286	0.388	4.07E-19
Zfp36l1	7.71E-56	-0.507714878558098	0.637	0.767	2.65E-51
Mmp25	4.70E-26	-0.532496667514229	0.263	0.372	1.61E-21
Cst3	6.06E-53	-0.537320019663418	0.696	0.78	2.08E-48
Rps29	1.01E-16	-0.547189323759149	0.302	0.407	3.49E-12
Rdh12	4.67E-20	-0.571595572364358	0.228	0.316	1.60E-15
Samsn1	1.95E-35	-0.581291082792769	0.391	0.523	6.72E-31
Crispld2	2.38E-22	-0.59849465748563	0.19	0.28	8.20E-18
Efhd2	1.76E-45	-0.607928860990724	0.467	0.602	6.04E-41
Marcksl1	4.51E-09	-0.62957800361252	0.24	0.293	0.000155285649737
mt-Co1	8.69E-32	-0.651868591463047	0.468	0.58	2.99E-27
Tsc22d3	6.92E-56	-0.669890247357691	0.379	0.543	2.38E-51
Sla	7.51E-47	-0.727127081732597	0.319	0.462	2.58E-42
Ptp4a1	6.41E-36	-0.758021861845607	0.227	0.349	2.20E-31
Tagln2	5.59E-56	-0.78018104371479	0.494	0.612	1.92E-51
Il1r2	1.78E-72	-0.86488071691287	0.354	0.529	6.13E-68
Hspa8	6.74E-31	-0.869118453235415	0.2	0.324	2.32E-26
Qsox1	5.40E-76	-0.911651674766947	0.292	0.481	1.86E-71
Nfkbia	8.55E-111	-0.913073780526023	0.455	0.676	2.94E-106
Wfdc17	1.44E-228	-0.967308835814134	0.763	0.905	4.95E-224
Cd14	1.11E-78	-1.29744008922462	0.198	0.378	3.81E-74
Ptma	5.42E-68	-1.35014187300185	0.225	0.448	1.87E-63
Cxcl2	2.33E-214	-2.75037087183757	0.141	0.441	8.00E-210

