gene_id,MUI_Innsbruck.P11_blood_Neutrophil,MUI_Innsbruck.P12_blood_Neutrophil,MUI_Innsbruck.P12_tumor_Neutrophil,MUI_Innsbruck.P13_blood_Neutrophil,MUI_Innsbruck.P13_tumor_Neutrophil,MUI_Innsbruck.P14_blood_Neutrophil,MUI_Innsbruck.P14_tumor_Neutrophil,MUI_Innsbruck.P15_blood_Neutrophil,MUI_Innsbruck.P15_tumor_Neutrophil,MUI_Innsbruck.P16_blood_Neutrophil,MUI_Innsbruck.P16_tumor_Neutrophil,MUI_Innsbruck.P3_blood_Neutrophil,MUI_Innsbruck.P3_tumor_Neutrophil,MUI_Innsbruck.P4_blood_Neutrophil,MUI_Innsbruck.P4_tumor_Neutrophil,MUI_Innsbruck.P5_blood_Neutrophil,MUI_Innsbruck.P5_tumor_Neutrophil,MUI_Innsbruck.P7_blood_Neutrophil,MUI_Innsbruck.P7_tumor_Neutrophil,MUI_Innsbruck.P8_blood_Neutrophil,MUI_Innsbruck.P8_tumor_Neutrophil,MUI_Innsbruck.P9_blood_Neutrophil,MUI_Innsbruck.P9_tumor_Neutrophil
ABCA1,210.0,667.0,87.0,548.0,53.0,236.0,237.0,513.0,707.0,634.0,111.0,479.0,455.0,778.0,124.0,554.0,1134.0,229.0,52.0,495.0,103.0,254.0,483.0
ABCG1,93.0,268.0,68.0,135.0,21.0,147.0,122.0,215.0,473.0,265.0,80.0,137.0,154.0,271.0,110.0,187.0,495.0,82.0,94.0,273.0,74.0,159.0,281.0
ABHD2,420.0,1325.0,60.0,1531.0,108.0,1207.0,138.0,1721.0,387.0,3036.0,186.0,1448.0,589.0,1795.0,31.0,2190.0,907.0,1517.0,212.0,1177.0,60.0,693.0,279.0
ABHD3,96.0,425.0,33.0,595.0,31.0,386.0,163.0,482.0,769.0,1326.0,122.0,852.0,481.0,577.0,31.0,660.0,1492.0,472.0,58.0,625.0,40.0,480.0,249.0
ABHD5,407.0,943.0,374.0,1452.0,226.0,1367.0,482.0,1292.0,1169.0,3103.0,711.0,1109.0,1609.0,1300.0,117.0,2336.0,4095.0,1232.0,373.0,1325.0,198.0,856.0,1046.0
ABI1,130.0,411.0,53.0,526.0,35.0,419.0,173.0,439.0,358.0,1037.0,141.0,616.0,485.0,606.0,51.0,875.0,1165.0,538.0,77.0,485.0,36.0,300.0,222.0
ABTB1,138.0,588.0,32.0,620.0,20.0,426.0,31.0,352.0,129.0,1053.0,58.0,888.0,220.0,962.0,46.0,668.0,292.0,370.0,21.0,640.0,14.0,348.0,78.0
ACAP2,377.0,1547.0,93.0,1863.0,102.0,1374.0,344.0,1381.0,1005.0,3869.0,371.0,1986.0,811.0,1941.0,142.0,2599.0,2753.0,1811.0,213.0,1698.0,102.0,1134.0,566.0
ACIN1,92.0,282.0,28.0,454.0,19.0,327.0,92.0,281.0,261.0,867.0,73.0,338.0,174.0,477.0,47.0,488.0,508.0,349.0,44.0,547.0,12.0,209.0,118.0
ACOX1,58.0,270.0,34.0,486.0,18.0,240.0,31.0,189.0,140.0,867.0,51.0,415.0,223.0,403.0,17.0,438.0,467.0,458.0,65.0,599.0,29.0,316.0,110.0
ACSL1,592.0,6016.0,1169.0,1677.0,480.0,2877.0,1846.0,2702.0,3216.0,5150.0,2140.0,2856.0,6251.0,5019.0,387.0,10326.0,16060.0,1447.0,545.0,1938.0,873.0,1412.0,2796.0
ACSL3,140.0,273.0,81.0,221.0,49.0,238.0,143.0,319.0,241.0,379.0,110.0,363.0,480.0,684.0,53.0,343.0,1041.0,130.0,45.0,215.0,47.0,141.0,161.0
ACSL4,69.0,512.0,77.0,344.0,23.0,421.0,54.0,272.0,267.0,1015.0,112.0,363.0,192.0,875.0,50.0,720.0,775.0,413.0,65.0,501.0,26.0,263.0,108.0
ACSL5,43.0,236.0,32.0,139.0,10.0,116.0,238.0,315.0,955.0,250.0,200.0,100.0,71.0,117.0,115.0,119.0,400.0,97.0,123.0,134.0,24.0,110.0,359.0
ACTB,11575.0,24568.0,5852.0,31865.0,4053.0,23758.0,12320.0,34116.0,17943.0,54530.0,9386.0,14716.0,12897.0,30908.0,2380.0,35117.0,53400.0,21179.0,5710.0,30482.0,3763.0,13732.0,18060.0
ACTG1,1069.0,1702.0,689.0,2874.0,656.0,1838.0,1496.0,3719.0,3344.0,3711.0,1293.0,1578.0,3027.0,2435.0,435.0,3147.0,10895.0,2493.0,1210.0,2209.0,481.0,1286.0,2626.0
ACTN1,214.0,1482.0,147.0,1820.0,123.0,1447.0,572.0,1067.0,832.0,3267.0,504.0,1022.0,937.0,1888.0,132.0,1919.0,3148.0,1175.0,180.0,1704.0,165.0,1049.0,1300.0
ACTN4,189.0,486.0,46.0,891.0,57.0,469.0,205.0,381.0,324.0,995.0,79.0,446.0,446.0,569.0,44.0,640.0,928.0,435.0,50.0,736.0,53.0,447.0,412.0
ACTR2,349.0,2471.0,134.0,3118.0,177.0,2346.0,241.0,1919.0,885.0,6163.0,405.0,2970.0,833.0,3505.0,130.0,4664.0,2506.0,3111.0,365.0,3104.0,130.0,1540.0,395.0
ACTR3,416.0,2209.0,228.0,2760.0,186.0,2010.0,534.0,2525.0,1573.0,4366.0,559.0,2157.0,932.0,2792.0,291.0,3760.0,4507.0,1894.0,362.0,2473.0,207.0,1458.0,1124.0
ADAM10,116.0,384.0,36.0,549.0,22.0,391.0,88.0,418.0,371.0,1085.0,135.0,651.0,292.0,533.0,57.0,922.0,778.0,614.0,88.0,656.0,40.0,384.0,176.0
ADAM17,94.0,364.0,96.0,433.0,63.0,197.0,184.0,274.0,429.0,801.0,163.0,366.0,394.0,493.0,112.0,561.0,1204.0,324.0,78.0,354.0,59.0,255.0,324.0
ADAM8,318.0,1457.0,163.0,1759.0,150.0,1072.0,505.0,994.0,644.0,2161.0,354.0,929.0,993.0,1688.0,99.0,1990.0,2912.0,1191.0,243.0,1442.0,136.0,764.0,1199.0
ADAR,129.0,927.0,73.0,1270.0,77.0,1170.0,200.0,749.0,565.0,2189.0,238.0,1056.0,417.0,2431.0,108.0,1792.0,1115.0,1260.0,140.0,1238.0,43.0,864.0,377.0
