gene_id,Geneid,GeneSymbol,Chromosome,Class,Length
ABCA1,ENSG00000165029.17,ABCA1,chr9,protein_coding,147149.0
ABCG1,ENSG00000160179.19,ABCG1,chr21,protein_coding,97555.0
ABHD2,ENSG00000140526.18,ABHD2,chr15,protein_coding,114896.0
ABHD3,ENSG00000158201.10,ABHD3,chr18,protein_coding,53879.0
ABHD5,ENSG00000011198.10,ABHD5,chr3,protein_coding,44263.0
ABI1,ENSG00000136754.18,ABI1,chr10,protein_coding,114494.0
ABTB1,ENSG00000114626.18,ABTB1,chr3,protein_coding,7991.0
ACAP2,ENSG00000114331.16,ACAP2,chr3,protein_coding,168299.0
ACIN1,ENSG00000100813.15,ACIN1,chr14,protein_coding,37050.0
ACOX1,ENSG00000161533.12,ACOX1,chr17,protein_coding,37670.0
ACSL1,ENSG00000151726.16,ACSL1,chr4,protein_coding,71223.0
ACSL3,ENSG00000123983.15,ACSL3,chr2,protein_coding,83697.0
ACSL4,ENSG00000068366.21,ACSL4,chrX,protein_coding,109159.0
ACSL5,ENSG00000197142.11,ACSL5,chr10,protein_coding,54263.0
ACTB,ENSG00000075624.17,ACTB,chr7,protein_coding,37493.0
ACTG1,ENSG00000184009.13,ACTG1,chr17,protein_coding,14434.0
ACTN1,ENSG00000072110.16,ACTN1,chr14,protein_coding,105312.0
ACTN4,ENSG00000130402.14,ACTN4,chr19,protein_coding,83940.0
ACTR2,ENSG00000138071.15,ACTR2,chr2,protein_coding,43465.0
ACTR3,ENSG00000115091.12,ACTR3,chr2,protein_coding,72533.0
ADAM10,ENSG00000137845.15,ADAM10,chr15,protein_coding,160982.0
ADAM17,ENSG00000151694.15,ADAM17,chr2,protein_coding,68246.0
ADAM8,ENSG00000151651.16,ADAM8,chr10,protein_coding,14448.0
ADAR,ENSG00000160710.18,ADAR,chr1,protein_coding,46318.0
ADD1,ENSG00000087274.19,ADD1,chr4,protein_coding,86232.0
ADD3,ENSG00000148700.15,ADD3,chr10,protein_coding,139197.0
ADGRE2,ENSG00000127507.18,ADGRE2,chr19,protein_coding,46168.0
ADGRE3,ENSG00000131355.15,ADGRE3,chr19,protein_coding,70910.0
ADGRE5,ENSG00000123146.20,ADGRE5,chr19,protein_coding,28224.0
ADGRG3,ENSG00000182885.17,ADGRG3,chr16,protein_coding,21101.0
ADIPOR1,ENSG00000159346.13,ADIPOR1,chr1,protein_coding,17746.0
ADM,ENSG00000148926.10,ADM,chr11,protein_coding,2324.0
AFF1,ENSG00000172493.23,AFF1,chr4,protein_coding,206037.0
AFF4,ENSG00000072364.13,AFF4,chr5,protein_coding,88239.0
AFTPH,ENSG00000119844.17,AFTPH,chr2,protein_coding,68706.0
AGO2,ENSG00000123908.12,AGO2,chr8,protein_coding,115477.0
AGO4,ENSG00000134698.11,AGO4,chr1,protein_coding,49874.0
AGTPBP1,ENSG00000135049.16,AGTPBP1,chr9,protein_coding,195490.0
AHCTF1,ENSG00000153207.16,AHCTF1,chr1,protein_coding,92850.0
AIF1,ENSG00000204472.13,AIF1,chr6,protein_coding,1804.0
AKAP13,ENSG00000170776.22,AKAP13,chr15,protein_coding,368787.0
AKAP9,ENSG00000127914.19,AKAP9,chr7,protein_coding,169833.0
AKIRIN2,ENSG00000135334.9,AKIRIN2,chr6,protein_coding,27373.0
AKNA,ENSG00000106948.17,AKNA,chr9,protein_coding,60249.0
ALDH1A2,ENSG00000128918.15,ALDH1A2,chr15,protein_coding,544442.0
ALOX5,ENSG00000012779.12,ALOX5,chr10,protein_coding,71943.0
ALOX5AP,ENSG00000132965.10,ALOX5AP,chr13,protein_coding,50948.0
ALPK1,ENSG00000073331.18,ALPK1,chr4,protein_coding,157112.0
ALPL,ENSG00000162551.14,ALPL,chr1,protein_coding,69013.0
AMD1,ENSG00000123505.19,AMD1,chr6,protein_coding,24109.0
AMN1,ENSG00000151743.11,AMN1,chr12,protein_coding,57979.0
AMPD2,ENSG00000116337.20,AMPD2,chr1,protein_coding,15947.0
AMPD3,ENSG00000133805.16,AMPD3,chr11,protein_coding,199266.0
ANKRD11,ENSG00000167522.17,ANKRD11,chr16,protein_coding,222931.0
ANKRD12,ENSG00000101745.17,ANKRD12,chr18,protein_coding,149757.0
ANKRD13A,ENSG00000076513.17,ANKRD13A,chr12,protein_coding,40577.0
ANKRD44,ENSG00000065413.20,ANKRD44,chr2,protein_coding,344156.0
ANP32A,ENSG00000140350.15,ANP32A,chr15,protein_coding,42362.0
ANPEP,ENSG00000166825.15,ANPEP,chr15,protein_coding,30506.0
ANTXR2,ENSG00000163297.18,ANTXR2,chr4,protein_coding,224308.0
ANXA11,ENSG00000122359.18,ANXA11,chr10,protein_coding,54683.0
ANXA3,ENSG00000138772.13,ANXA3,chr4,protein_coding,58704.0
AOAH,ENSG00000136250.12,AOAH,chr7,protein_coding,211608.0
AP1G1,ENSG00000166747.13,AP1G1,chr16,protein_coding,80201.0
AP3B1,ENSG00000132842.15,AP3B1,chr5,protein_coding,294240.0
AP5B1,ENSG00000254470.3,AP5B1,chr11,protein_coding,7078.0
AP5Z1,ENSG00000242802.9,AP5Z1,chr7,protein_coding,18782.0
APBB1IP,ENSG00000077420.16,APBB1IP,chr10,protein_coding,129462.0
APC,ENSG00000134982.18,APC,chr5,protein_coding,138721.0
APLP2,ENSG00000084234.18,APLP2,chr11,protein_coding,76664.0
APMAP,ENSG00000101474.12,APMAP,chr20,protein_coding,29826.0
APOBEC3A,ENSG00000128383.14,APOBEC3A,chr22,protein_coding,10443.0
APOL2,ENSG00000128335.14,APOL2,chr22,protein_coding,13745.0
APOL6,ENSG00000221963.6,APOL6,chr22,protein_coding,19958.0
AQP9,ENSG00000103569.11,AQP9,chr15,protein_coding,47742.0
ARAP1,ENSG00000186635.16,ARAP1,chr11,protein_coding,108530.0
ARF1,ENSG00000143761.17,ARF1,chr1,protein_coding,16504.0
ARF3,ENSG00000134287.10,ARF3,chr12,protein_coding,21764.0
ARF4,ENSG00000168374.11,ARF4,chr3,protein_coding,26857.0
ARF6,ENSG00000165527.8,ARF6,chr14,protein_coding,3975.0
ARFGAP3,ENSG00000242247.11,ARFGAP3,chr22,protein_coding,61604.0
ARFIP1,ENSG00000164144.16,ARFIP1,chr4,protein_coding,138526.0
ARGLU1,ENSG00000134884.15,ARGLU1,chr13,protein_coding,26464.0
ARHGAP15,ENSG00000075884.14,ARHGAP15,chr2,protein_coding,676990.0
ARHGAP25,ENSG00000163219.12,ARHGAP25,chr2,protein_coding,147232.0
ARHGAP26,ENSG00000145819.18,ARHGAP26,chr5,protein_coding,458634.0
ARHGAP30,ENSG00000186517.14,ARHGAP30,chr1,protein_coding,23024.0
ARHGAP9,ENSG00000123329.20,ARHGAP9,chr12,protein_coding,16550.0
ARHGDIA,ENSG00000141522.12,ARHGDIA,chr17,protein_coding,3657.0
ARHGDIB,ENSG00000111348.9,ARHGDIB,chr12,protein_coding,19697.0
ARHGEF1,ENSG00000076928.20,ARHGEF1,chr19,protein_coding,46977.0
ARHGEF2,ENSG00000116584.22,ARHGEF2,chr1,protein_coding,60219.0
ARHGEF40,ENSG00000165801.10,ARHGEF40,chr14,protein_coding,19975.0
ARID1A,ENSG00000117713.21,ARID1A,chr1,protein_coding,88868.0
ARID4A,ENSG00000032219.19,ARID4A,chr14,protein_coding,75383.0
ARID4B,ENSG00000054267.22,ARID4B,chr1,protein_coding,196585.0
ARIH1,ENSG00000166233.15,ARIH1,chr15,protein_coding,128657.0
ARL5B,ENSG00000165997.5,ARL5B,chr10,protein_coding,22208.0
ARL6IP5,ENSG00000144746.7,ARL6IP5,chr3,protein_coding,21155.0
ARPC2,ENSG00000163466.16,ARPC2,chr2,protein_coding,37215.0
ARPC3,ENSG00000111229.16,ARPC3,chr12,protein_coding,15599.0
ARPC4,ENSG00000241553.13,ARPC4,chr3,protein_coding,14606.0
ARPC5,ENSG00000162704.16,ARPC5,chr1,protein_coding,14937.0
ARRB2,ENSG00000141480.18,ARRB2,chr17,protein_coding,10903.0
ARRDC3,ENSG00000113369.9,ARRDC3,chr5,protein_coding,14686.0
ASAH1,ENSG00000104763.20,ASAH1,chr8,protein_coding,29006.0
ASAP1,ENSG00000153317.15,ASAP1,chr8,protein_coding,391570.0
ASH1L,ENSG00000116539.14,ASH1L,chr1,protein_coding,227894.0
ASPH,ENSG00000198363.18,ASPH,chr8,protein_coding,214084.0
ATF4,ENSG00000128272.18,ATF4,chr22,protein_coding,2988.0
ATF6,ENSG00000118217.7,ATF6,chr1,protein_coding,211276.0
ATF7IP,ENSG00000171681.13,ATF7IP,chr12,protein_coding,137255.0
ATG16L2,ENSG00000168010.11,ATG16L2,chr11,protein_coding,29268.0
